-  Epoch: 10, train/loss: 0.871, train/accu: 0.744, memory: 0.088GB, iter: 300
-  Epoch: 11, train/loss: 0.977, train/accu: 0.781, memory: 0.111GB, iter: 0
-  Epoch: 11, train/loss: 0.841, train/accu: 0.757, memory: 0.100GB, iter: 50
-  Epoch: 11, train/loss: 0.858, train/accu: 0.747, memory: 0.098GB, iter: 100
-  Epoch: 11, train/loss: 0.847, train/accu: 0.750, memory: 0.098GB, iter: 150
-  Epoch: 11, train/loss: 0.842, train/accu: 0.753, memory: 0.098GB, iter: 200
-  Epoch: 11, train/loss: 0.831, train/accu: 0.756, memory: 0.098GB, iter: 250
-  Epoch: 11, train/loss: 0.828, train/accu: 0.758, memory: 0.137GB, iter: 300
-  Epoch: 12, train/loss: 1.298, train/accu: 0.656, memory: 0.129GB, iter: 0
-  Epoch: 12, train/loss: 0.828, train/accu: 0.760, memory: 0.131GB, iter: 50
-  Epoch: 12, train/loss: 0.830, train/accu: 0.759, memory: 0.127GB, iter: 100
-  Epoch: 12, train/loss: 0.822, train/accu: 0.760, memory: 0.127GB, iter: 150
-  Epoch: 12, train/loss: 0.840, train/accu: 0.753, memory: 0.131GB, iter: 200
-  Epoch: 12, train/loss: 0.832, train/accu: 0.754, memory: 0.131GB, iter: 250
-  Epoch: 12, train/loss: 0.838, train/accu: 0.752, memory: 0.096GB, iter: 300
-  Epoch: 13, train/loss: 0.712, train/accu: 0.750, memory: 0.082GB, iter: 0
-  Epoch: 13, train/loss: 0.851, train/accu: 0.751, memory: 0.133GB, iter: 50
-  Epoch: 13, train/loss: 0.823, train/accu: 0.756, memory: 0.121GB, iter: 100
-  Epoch: 13, train/loss: 0.820, train/accu: 0.757, memory: 0.127GB, iter: 150
-  Epoch: 13, train/loss: 0.819, train/accu: 0.755, memory: 0.123GB, iter: 200
-  Epoch: 13, train/loss: 0.828, train/accu: 0.754, memory: 0.121GB, iter: 250
-  Epoch: 13, train/loss: 0.823, train/accu: 0.756, memory: 0.090GB, iter: 300
-  Epoch: 14, train/loss: 0.817, train/accu: 0.781, memory: 0.107GB, iter: 0
-  Epoch: 14, train/loss: 0.755, train/accu: 0.776, memory: 0.088GB, iter: 50
-  Epoch: 14, train/loss: 0.790, train/accu: 0.767, memory: 0.137GB, iter: 100
-  Epoch: 14, train/loss: 0.813, train/accu: 0.759, memory: 0.129GB, iter: 150
-  Epoch: 14, train/loss: 0.827, train/accu: 0.758, memory: 0.123GB, iter: 200
-  Epoch: 14, train/loss: 0.822, train/accu: 0.761, memory: 0.135GB, iter: 250
-  Epoch: 14, train/loss: 0.819, train/accu: 0.761, memory: 0.139GB, iter: 300
-  Epoch: 15, train/loss: 1.130, train/accu: 0.781, memory: 0.100GB, iter: 0
-  Epoch: 15, train/loss: 0.798, train/accu: 0.774, memory: 0.123GB, iter: 50
-  Epoch: 15, train/loss: 0.793, train/accu: 0.773, memory: 0.125GB, iter: 100
-  Epoch: 15, train/loss: 0.797, train/accu: 0.767, memory: 0.141GB, iter: 150
-  Epoch: 15, train/loss: 0.786, train/accu: 0.769, memory: 0.098GB, iter: 200
-  Epoch: 15, train/loss: 0.788, train/accu: 0.768, memory: 0.129GB, iter: 250
-  Epoch: 15, train/loss: 0.799, train/accu: 0.764, memory: 0.121GB, iter: 300
-  Epoch: 16, train/loss: 0.945, train/accu: 0.719, memory: 0.090GB, iter: 0
-  Epoch: 16, train/loss: 0.816, train/accu: 0.773, memory: 0.111GB, iter: 50
-  Epoch: 16, train/loss: 0.805, train/accu: 0.766, memory: 0.109GB, iter: 100
-  Epoch: 16, train/loss: 0.806, train/accu: 0.768, memory: 0.111GB, iter: 150
-  Epoch: 16, train/loss: 0.813, train/accu: 0.766, memory: 0.098GB, iter: 200
-  Epoch: 16, train/loss: 0.808, train/accu: 0.766, memory: 0.127GB, iter: 250
-  Epoch: 16, train/loss: 0.804, train/accu: 0.768, memory: 0.123GB, iter: 300
-  Epoch: 17, train/loss: 0.730, train/accu: 0.812, memory: 0.090GB, iter: 0
-  Epoch: 17, train/loss: 0.849, train/accu: 0.740, memory: 0.105GB, iter: 50
-  Epoch: 17, train/loss: 0.786, train/accu: 0.764, memory: 0.088GB, iter: 100
-  Epoch: 17, train/loss: 0.797, train/accu: 0.762, memory: 0.125GB, iter: 150
-  Epoch: 17, train/loss: 0.811, train/accu: 0.761, memory: 0.131GB, iter: 200
-  Epoch: 17, train/loss: 0.804, train/accu: 0.762, memory: 0.123GB, iter: 250
-  Epoch: 17, train/loss: 0.810, train/accu: 0.761, memory: 0.102GB, iter: 300
-  Epoch: 18, train/loss: 0.430, train/accu: 0.906, memory: 0.107GB, iter: 0
-  Epoch: 18, train/loss: 0.801, train/accu: 0.756, memory: 0.088GB, iter: 50
-  Epoch: 18, train/loss: 0.786, train/accu: 0.760, memory: 0.121GB, iter: 100
-  Epoch: 18, train/loss: 0.793, train/accu: 0.761, memory: 0.096GB, iter: 150
-  Epoch: 18, train/loss: 0.803, train/accu: 0.761, memory: 0.145GB, iter: 200
-  Epoch: 18, train/loss: 0.808, train/accu: 0.761, memory: 0.096GB, iter: 250
-  Epoch: 18, train/loss: 0.800, train/accu: 0.763, memory: 0.094GB, iter: 300
-  Epoch: 19, train/loss: 0.519, train/accu: 0.844, memory: 0.111GB, iter: 0
-  Epoch: 19, train/loss: 0.782, train/accu: 0.773, memory: 0.127GB, iter: 50
-  Epoch: 19, train/loss: 0.784, train/accu: 0.769, memory: 0.100GB, iter: 100
-  Epoch: 19, train/loss: 0.800, train/accu: 0.767, memory: 0.127GB, iter: 150
-  Epoch: 19, train/loss: 0.792, train/accu: 0.767, memory: 0.125GB, iter: 200
-  Epoch: 19, train/loss: 0.803, train/accu: 0.765, memory: 0.096GB, iter: 250
-  Epoch: 19, train/loss: 0.797, train/accu: 0.766, memory: 0.098GB, iter: 300
-  Epoch: 20, train/loss: 1.158, train/accu: 0.656, memory: 0.092GB, iter: 0
-  Epoch: 20, train/loss: 0.722, train/accu: 0.794, memory: 0.125GB, iter: 50
