-  Epoch: 10, train/loss: 0.856, train/accu: 0.746, memory: 0.107GB, iter: 300
-  Epoch: 11, train/loss: 0.847, train/accu: 0.781, memory: 0.100GB, iter: 0
-  Epoch: 11, train/loss: 0.880, train/accu: 0.738, memory: 0.135GB, iter: 50
-  Epoch: 11, train/loss: 0.844, train/accu: 0.752, memory: 0.100GB, iter: 100
-  Epoch: 11, train/loss: 0.856, train/accu: 0.747, memory: 0.121GB, iter: 150
-  Epoch: 11, train/loss: 0.857, train/accu: 0.747, memory: 0.104GB, iter: 200
-  Epoch: 11, train/loss: 0.852, train/accu: 0.747, memory: 0.141GB, iter: 250
-  Epoch: 11, train/loss: 0.845, train/accu: 0.748, memory: 0.104GB, iter: 300
-  Epoch: 12, train/loss: 0.484, train/accu: 0.875, memory: 0.098GB, iter: 0
-  Epoch: 12, train/loss: 0.847, train/accu: 0.748, memory: 0.107GB, iter: 50
-  Epoch: 12, train/loss: 0.853, train/accu: 0.750, memory: 0.143GB, iter: 100
-  Epoch: 12, train/loss: 0.842, train/accu: 0.756, memory: 0.143GB, iter: 150
-  Epoch: 12, train/loss: 0.854, train/accu: 0.754, memory: 0.107GB, iter: 200
-  Epoch: 12, train/loss: 0.847, train/accu: 0.756, memory: 0.107GB, iter: 250
-  Epoch: 12, train/loss: 0.841, train/accu: 0.757, memory: 0.102GB, iter: 300
-  Epoch: 13, train/loss: 0.656, train/accu: 0.844, memory: 0.096GB, iter: 0
-  Epoch: 13, train/loss: 0.801, train/accu: 0.765, memory: 0.092GB, iter: 50
-  Epoch: 13, train/loss: 0.812, train/accu: 0.760, memory: 0.139GB, iter: 100
-  Epoch: 13, train/loss: 0.821, train/accu: 0.759, memory: 0.143GB, iter: 150
-  Epoch: 13, train/loss: 0.809, train/accu: 0.763, memory: 0.135GB, iter: 200
-  Epoch: 13, train/loss: 0.816, train/accu: 0.762, memory: 0.135GB, iter: 250
-  Epoch: 13, train/loss: 0.811, train/accu: 0.762, memory: 0.100GB, iter: 300
-  Epoch: 14, train/loss: 0.827, train/accu: 0.781, memory: 0.098GB, iter: 0
-  Epoch: 14, train/loss: 0.755, train/accu: 0.773, memory: 0.109GB, iter: 50
-  Epoch: 14, train/loss: 0.761, train/accu: 0.772, memory: 0.129GB, iter: 100
-  Epoch: 14, train/loss: 0.769, train/accu: 0.771, memory: 0.098GB, iter: 150
-  Epoch: 14, train/loss: 0.780, train/accu: 0.768, memory: 0.098GB, iter: 200
-  Epoch: 14, train/loss: 0.790, train/accu: 0.763, memory: 0.125GB, iter: 250
-  Epoch: 14, train/loss: 0.800, train/accu: 0.760, memory: 0.100GB, iter: 300
-  Epoch: 15, train/loss: 0.444, train/accu: 0.812, memory: 0.098GB, iter: 0
-  Epoch: 15, train/loss: 0.800, train/accu: 0.760, memory: 0.094GB, iter: 50
-  Epoch: 15, train/loss: 0.841, train/accu: 0.752, memory: 0.096GB, iter: 100
-  Epoch: 15, train/loss: 0.845, train/accu: 0.751, memory: 0.137GB, iter: 150
-  Epoch: 15, train/loss: 0.842, train/accu: 0.749, memory: 0.133GB, iter: 200
-  Epoch: 15, train/loss: 0.830, train/accu: 0.753, memory: 0.100GB, iter: 250
-  Epoch: 15, train/loss: 0.828, train/accu: 0.754, memory: 0.098GB, iter: 300
-  Epoch: 16, train/loss: 0.575, train/accu: 0.844, memory: 0.096GB, iter: 0
-  Epoch: 16, train/loss: 0.789, train/accu: 0.769, memory: 0.133GB, iter: 50
-  Epoch: 16, train/loss: 0.791, train/accu: 0.768, memory: 0.131GB, iter: 100
-  Epoch: 16, train/loss: 0.779, train/accu: 0.771, memory: 0.107GB, iter: 150
-  Epoch: 16, train/loss: 0.773, train/accu: 0.773, memory: 0.105GB, iter: 200
-  Epoch: 16, train/loss: 0.780, train/accu: 0.772, memory: 0.137GB, iter: 250
-  Epoch: 16, train/loss: 0.794, train/accu: 0.767, memory: 0.135GB, iter: 300
-  Epoch: 17, train/loss: 1.406, train/accu: 0.656, memory: 0.100GB, iter: 0
-  Epoch: 17, train/loss: 0.742, train/accu: 0.789, memory: 0.098GB, iter: 50
-  Epoch: 17, train/loss: 0.770, train/accu: 0.777, memory: 0.133GB, iter: 100
-  Epoch: 17, train/loss: 0.790, train/accu: 0.770, memory: 0.105GB, iter: 150
-  Epoch: 17, train/loss: 0.793, train/accu: 0.770, memory: 0.113GB, iter: 200
-  Epoch: 17, train/loss: 0.790, train/accu: 0.769, memory: 0.096GB, iter: 250
-  Epoch: 17, train/loss: 0.798, train/accu: 0.769, memory: 0.105GB, iter: 300
-  Epoch: 18, train/loss: 0.858, train/accu: 0.750, memory: 0.107GB, iter: 0
-  Epoch: 18, train/loss: 0.773, train/accu: 0.778, memory: 0.107GB, iter: 50
-  Epoch: 18, train/loss: 0.771, train/accu: 0.777, memory: 0.133GB, iter: 100
-  Epoch: 18, train/loss: 0.774, train/accu: 0.779, memory: 0.135GB, iter: 150
-  Epoch: 18, train/loss: 0.790, train/accu: 0.773, memory: 0.102GB, iter: 200
-  Epoch: 18, train/loss: 0.795, train/accu: 0.770, memory: 0.105GB, iter: 250
-  Epoch: 18, train/loss: 0.797, train/accu: 0.767, memory: 0.100GB, iter: 300
-  Epoch: 19, train/loss: 0.798, train/accu: 0.750, memory: 0.098GB, iter: 0
-  Epoch: 19, train/loss: 0.743, train/accu: 0.771, memory: 0.098GB, iter: 50
-  Epoch: 19, train/loss: 0.774, train/accu: 0.770, memory: 0.104GB, iter: 100
-  Epoch: 19, train/loss: 0.765, train/accu: 0.773, memory: 0.131GB, iter: 150
-  Epoch: 19, train/loss: 0.781, train/accu: 0.769, memory: 0.129GB, iter: 200
-  Epoch: 19, train/loss: 0.789, train/accu: 0.766, memory: 0.100GB, iter: 250
-  Epoch: 19, train/loss: 0.796, train/accu: 0.766, memory: 0.125GB, iter: 300
-  Epoch: 20, train/loss: 0.643, train/accu: 0.844, memory: 0.098GB, iter: 0
-  Epoch: 20, train/loss: 0.777, train/accu: 0.768, memory: 0.131GB, iter: 50
-  Epoch: 20, train/loss: 0.780, train/accu: 0.766, memory: 0.094GB, iter: 100
