logdir, alias, type, max_epoch, test_every_epoch, log_per_iter, lr, lr_type, lr_min, gamma, lr_power, momentum, weight_decay, batch_size, total_time, average_memory ,memory, best_test_accu, final_accu
logs/m40/d5,test1,sgd,2,1,10,0.1,step,0.0001,0.1,0.9,0.9,0.0005,1024,0:00:28,1.083,2.166,"epoch: 2, test/accu: 0.502404",0.423
logs/m40/d5,test2,sgd,2,1,10,0.1,step,0.0001,0.1,0.9,0.9,0.0005,1024,0:00:25,1.105,2.211,"epoch: 2, test/accu: 0.537660",0.46
